PLA_type,  MLO_phr,  wool_phr,  ca_phr,  ca_type,tensile strength,elongation at brake,Young modulus,Flexural resistance,Flexural modulus,  hardness,  impact,PLA Tg,PLA Tcc,PLA Tm,PLA Xc%,T5,Tmax,Mass loss 300,Mass loss 350
6210D,10,5, 1, c, 28.25, 22.2, 1277.1, 39.3, 2679.6,79, 13.5,59.5,105.4,168.9,16.40,316.3,364.3,2.90,29.20
6210D,10,5, 1, c, 29.96, 12.29, 2107.3, 31.5, 2468.8,79, 10.5,58.6,105.2,167.7,14.70,315.7,362.8,2.80,28.20
6210D,10,5, 1, c, 29.24, 10.14, 2013.5, 30.9, 2518.4,78, 11.25,60.4,105.6,170.1,18.10,316.9,365.8,3.00,30.20
6210D,10,5, 1, c, 30.33, 13, 2032.6, 39.3, 2679.6,79, 13,59.5,105.4,168.9,16.40,316.3,364.3,2.90,29.20
6210D,10,5, 1, c, 24.61, 2.37, 2024.1, 31.5, 2468.8,78, 10.5,58.6,105.2,167.7,14.70,315.7,362.8,2.80,28.20
6210D,10,5, 1, c, 28.25, 22.2, 1277.1, 30.9, 2518.4,79, 13.5,60.4,105.6,170.1,18.10,316.9,365.8,3.00,30.20
6210D,10,5, 1, c, 29.96, 12.29, 2107.3, 39.3, 2679.6,80, 10.5,59.5,105.4,168.9,16.40,316.3,364.3,2.90,29.20
6210D,10,5, 1, c, 29.24, 10.14, 2013.5, 31.5, 2468.8,80, 11.25,58.6,105.2,167.7,14.70,315.7,362.8,2.80,28.20
6210D,10,5, 1, c, 30.33, 13, 2032.6, 30.9, 2518.4,78, 13,60.4,105.6,170.1,18.10,316.9,365.8,3.00,30.20
6210D,10,5, 1, c, 24.61, 2.37, 2024.1, 33.9, 2555.6,79, 10.5,59.5,105.4,168.9,16.40,316.3,364.3,2.90,29.20
6210D,10,5, 2.5, c, 28.39, 16.03, 2004.8, 36.8, 2748.2,78, 13.5,59.5,105.9,168.5,16.50,300.0,359.0,4.60,32.20
6210D,10,5, 2.5, c, 29.36, 10.46, 2174.6, 39.6, 2777.3,78, 11.5,59.2,105.5,168.2,16.10,297.0,358.0,3.20,29.90
6210D,10,5, 2.5, c, 26.51, 17.89, 1840.5, 33, 2429.2,76, 11.5,59.8,106.3,168.8,16.90,303.0,360.0,6.00,34.50
6210D,10,5, 2.5, c, 27.68, 13.77, 2199.8, 36.8, 2748.2,76, 13,59.5,105.9,168.5,16.50,300.0,359.0,4.60,32.20
6210D,10,5, 2.5, c, 25.84, 18.83, 1541.7, 39.6, 2777.3,76, 14,59.2,105.5,168.2,16.10,297.0,358.0,3.20,29.90
6210D,10,5, 2.5, c, 28.39, 16.03, 2004.8, 33, 2429.2,79, 13.5,59.8,106.3,168.8,16.90,303.0,360.0,6.00,34.50
6210D,10,5, 2.5, c, 29.36, 10.46, 2174.6, 36.8, 2748.2,78, 11.5,59.5,105.9,168.5,16.50,300.0,359.0,4.60,32.20
6210D,10,5, 2.5, c, 26.51, 17.89, 1840.5, 39.6, 2777.3,73, 11.5,59.2,105.5,168.2,16.10,297.0,358.0,3.20,29.90
6210D,10,5, 2.5, c, 27.68, 13.77, 2199.8, 33, 2429.2,74, 13,59.8,106.3,168.8,16.90,303.0,360.0,6.00,34.50
6210D,10,5, 2.5, c, 25.84, 18.83, 1541.7, 36.5, 2651.6,75, 14,59.5,105.9,168.5,16.50,300.0,359.0,4.60,32.20
